,data,value
469,"['looks', 'great', 'strong']",1
470,"['tmobile', 'service', 'years', 'pretty', 'happy']",1
471,"['update', 'procedure', 'difficult', 'cumbersome']",0
472,"['disappointment', 'hate', 'anything', 'goes', 'ear']",0
473,"['great', 'software', 'motorolas']",1
474,"['delivery', 'time']",1
475,"['easy', 'use']",1
476,"['uncomfortable', 'ear', 'dont', 'use', 'lg', 'vx', 'env']",0
477,"['volume', 'switch', 'rocketed', 'unit', 'destination', 'unknown']",0
478,"['holds', 'charge', 'long', 'time', 'reasonably', 'comfortable', 'longwearing', 'conditions', 'quality', 'sound', 'tremendous']",1
479,"['id', 'like', 'return']",0
480,"['keyboard', 'really', 'worthwhile', 'usefulness', 'sturdy', 'enough', 'dont', 'expect', 'problems']",1
481,"['verizons', 'bills', 'however', 'difficult', 'understand', 'even', 'though', 'pricing', 'plans', 'simple']",0
482,"['charging', 'overnight', 'batteries', 'work', 'great']",1
483,"['wont', 'regret']",1
484,"['love', 'phone']",1
485,['disappointment'],0
486,"['user', 'friendly']",0
487,"['unfortunately', 'ability', 'actually', 'know', 'receiving', 'call', 'rather', 'important', 'feature', 'phone', 'pitiful', 'respect']",0
488,"['exchanged', 'phone', 'even', 'problem']",0
489,"['results', 'phone', 'either', 'stuck', 'max', 'volume', 'mute']",0
490,"['pda', 'rocks']",1
491,"['super', 'charged', 'use', 'small', 'hybrid', 'palmtopcameracellphone', 'excels', 'roles']",1
492,"['would', 'definitely', 'recommend', 'jabra', 'btv', 'looking', 'comfort', 'clarity', 'great', 'price']",1
493,"['verizon', 'years', 'ago', 'really', 'liked', 'service']",1
494,"['pretty', 'piece', 'junk']",0
495,"['plug', 'wrong', 'size']",0
496,"['works', 'described']",1
497,"['save', 'money', 'item', 'months']",0
498,"['bad', 'purchase']",0
499,"['well', 'satisfied']",1
500,"['bose', 'noise', 'cancelling', 'amazing', 'important', 'nyc', 'commuter']",1
501,"['battery', 'excellent', 'bargain']",1
502,"['defective', 'crap']",0
503,"['would', 'given', 'star', 'able']",0
504,"['wear', 'glasses', 'fits', 'fine']",1
505,"['sound', 'quality', 'device', 'unacceptableunless', 'really', 'quiet', 'area', 'almost', 'hear', 'nothing']",0
506,"['would', 'recommend', 'item', 'anyone']",0
507,"['holster', 'arrived', 'match', 'photo', 'ad']",0
508,"['greatno', 'problems']",1
509,"['earlier', 'review', 'noted', 'plug', 'charger', 'nothing', 'happens']",0
510,"['frog', 'phone', 'charm', 'adorable', 'eye', 'catching']",1
511,"['never', 'know', 'pushed', 'hard', 'enough', 'right', 'number', 'times', 'function', 'want']",0
512,"['sound', 'clear', 'people', 'talk', 'amazed', 'quality']",1
513,"['got', 'aluminum', 'case', 'new', 'palm', 'vx', 'worked', 'really', 'wellit', 'protected', 'handheld', 'perfectly', 'far']",1
514,"['good', 'product', 'well', 'made']",1
515,"['mobile', 'phone', 'tools', 'must']",1
516,"['impressed', 'job', 'motorola', 'sturdiness', 'phone']",1
517,"['received', 'orders', 'well', 'within', 'shipping', 'timeframe', 'everything', 'good', 'working', 'order', 'overall', 'excited', 'source']",1
518,"['phone', 'sturdy', 'waterproof']",1
519,"['impressed', 'would', 'recommend', 'item', 'anyone']",0
520,"['complaint', 'standard', 'sound', 'volume', 'little', 'low', 'even', 'turned']",0
521,"['thanks', 'amazon', 'things', 'need', 'good', 'price']",1
522,"['ended', 'sliding', 'edge', 'pants', 'back', 'pockets', 'instead']",1
523,"['go', 'store', 'bought', 'new', 'nokia', 'phone', 'working', 'great']",1
524,"['works', 'great']",1
525,"['really', 'ugly']",0
526,"['horrible', 'switch', 'times']",0
527,"['noise', 'shield', 'incrediable']",1
528,"['real', 'improvement']",0
529,"['razr', 'battery', 'good', 'buy']",1
530,"['keep', 'good', 'work', 'amazon']",1
531,"['refuse', 'refund', 'replace']",0
532,"['unfortunately', 'easy', 'accidentally', 'activate', 'gentletouch', 'buttons', 'accidentally', 'touch', 'phone', 'face', 'listening']",0
533,"['basically', 'threw', 'money', 'window', 'nothing']",0
534,"['great', 'case', 'price']",1
535,"['took', 'one', 'drop', 'inches', 'kitchen', 'counter', 'crackedi', 'impressed', 'laughing']",0
536,"['bluetooth', 'range', 'good', 'days', 'ago', 'left', 'phone', 'trunk', 'got', 'call', 'carried', 'conversation', 'without', 'hitch']",1
537,"['small', 'sleek', 'impressive', 'looking', 'practical', 'setup', 'ample', 'storage', 'place']",1
538,"['eargels', 'channel', 'sound', 'directly', 'ear', 'seem', 'increase', 'sound', 'volume', 'clarity']",1
539,"['none', 'new', 'ones', 'ever', 'quite', 'worked', 'properly']",0
540,"['glad', 'purchased']",1
541,"['missed', 'numerous', 'calls', 'reason']",0
542,"['perhaps', 'phone', 'defective', 'people', 'cannot', 'hear', 'use']",0
543,"['dont', 'buy', 'product']",0
544,"['sucked', 'stuff', 'work', 'phone']",0
545,"['shifting', 'bubbling', 'peeling', 'even', 'scratch', 'nothingi', 'couldnt', 'happier', 'new', 'one', 'droid']",1
546,"['worst', 'software', 'ever', 'used', 'could', 'give', 'zero', 'stars', 'would']",0
547,"['trying', 'make', 'call', 'exercise', 'frustration']",0
548,"['case', 'flimsy', 'piece', 'plastic', 'front', 'side', 'protection', 'whatsoever']",0
549,"['jabra', 'earset', 'happy', 'sound', 'quality', 'especially', 'outgoing', 'better']",1
550,"['love', 'camera', 'really', 'pretty', 'good', 'quality']",1
551,"['thank', 'great', 'service']",1
552,"['total', 'package']",1
553,"['seller', 'understanding', 'patient', 'would', 'definitely', 'buy']",1
554,"['give', 'wirefly', 'stari', 'contact', 'cingularatt', 'inform', 'practice']",0
555,['aggravating'],0
556,"['great', 'product', 'price']",1
557,"['purchased', 'family', 'friends', 'enjoy', 'clarity', 'ease', 'use']",1
558,"['virgin', 'wireless', 'rocks', 'cheap', 'little', 'phone']",1
559,"['none', 'works', 'dont', 'buy']",0
560,"['muddy', 'low', 'quality', 'sound', 'casing', 'around', 'wires', 'insert', 'poorly', 'super', 'glued', 'slid']",0
561,"['please', 'dont', 'waste', 'money']",0
562,"['quite', 'satisfied', 'purchase']",1
563,"['looking', 'good', 'quality', 'motorola', 'headset', 'keep', 'looking', 'isnt']",0
564,"['yet', 'plantronincs', 'continues', 'use', 'flawed', 'charger', 'design']",0
565,"['disapointing', 'results']",0
566,"['cumbersome', 'design']",0
567,"['great', 'new', 'packaged', 'nice', 'works', 'good', 'problems', 'came', 'less', 'time', 'expected']",1
568,"['great', 'product']",1
569,"['piece', 'crap']",0
570,"['experience', 'terrible', 'fourth', 'bluetooth', 'headset', 'much', 'comfortable', 'last', 'jabra', 'hated']",0
571,"['fixes', 'problems']",1
572,"['worst', 'ever']",0
573,['happy'],1
574,"['trouble', 'accessing', 'internet', 'downloading', 'ringtones', 'performing', 'functions']",1
575,"['barely', 'ever', 'hear', 'constantly', 'saying']",0
576,"['battery', 'life', 'highly', 'unacceptable']",0
577,"['company', 'joke']",0
578,"['everything', 'description', 'said', 'would']",1
579,"['due', 'happening', 'every', 'call', 'forced', 'stop', 'using', 'headset']",0
580,"['works', 'great', 'car', 'charger', 'especially', 'cannot', 'plug', 'two', 'adapters', 'time']",1
581,"['verizon', 'tech', 'support', 'walked', 'procedures', 'none', 'worked', 'ended', 'hard', 'reset', 'wiping', 'data']",0
582,"['voice', 'quality', 'signal', 'strength', 'dropped', 'calls']",0
583,"['plays', 'louder', 'speaker', 'size', 'price', 'low', 'would', 'think', 'quality', 'lacking', 'however']",1
584,"['better', 'expected']",1
585,"['feels', 'poorly', 'constructed', 'menus', 'difficult', 'navigate', 'buttons', 'recessed', 'difficult', 'push']",0
586,"['battery', 'holding', 'well']",1
587,"['also', 'difficult', 'put', 'onid', 'recommend', 'avoiding', 'product']",0
588,"['used', 'two', 'days', 'wasnt', 'always', 'easy', 'hear']",0
589,"['got', 'car', 'charger', 'even', 'week', 'charger', 'brokeni', 'went', 'plug', 'started', 'smoking']",0
590,"['sprint', 'terrible', 'customer', 'service']",0
591,"['linked', 'phone', 'without', 'effort']",1
592,['cool'],1
593,"['easy', 'use']",1
594,"['better', 'new']",1
595,"['possesed', 'get', 'junk', 'idea']",0
596,"['piece', 'trash']",0
597,"['pretty', 'good', 'product']",1
598,"['great', 'phone']",1
599,"['price', 'amazon', 'excellent', 'product', 'would', 'highly', 'recommend']",1
600,"['research', 'development', 'division', 'obviously', 'knows', 'theyre']",1
601,"['real', 'killer', 'volume', 'course', 'breaking']",0
602,"['phones', 'working', 'fine']",1
603,"['happy', 'product']",1
604,"['poor', 'construction']",0
605,['infuriating'],0
606,"['overall', 'would', 'recommend', 'phone', 'new', 'walkman']",1
607,"['sprint', 'charges', 'service']",0
608,"['cheap', 'feel', 'look', 'cheap']",0
609,"['fits', 'ear', 'well', 'comfortable']",1
610,"['doesnt', 'work', 'europe', 'asia']",0
611,"['clipping', 'belt', 'deffinitely', 'make', 'feel', 'like', 'cents', 'upandcoming']",1
612,"['like', 'design', 'look', 'jabra', 'behing', 'ear', 'headsets', 'pretty', 'comfortible', 'wear', 'hours', 'day', 'without', 'pain', 'ear']",1
613,"['amazed', 'quick', 'arrival', 'two', 'original', 'lg', 'cell', 'phone', 'batteries', 'fraction', 'price']",1
614,"['worst', 'phone', 'samsungcrap', 'crappy', 'samsung', 'worst', 'ever', 'seeen']",0
615,"['charger', 'worked', 'week', 'completely', 'stopped', 'charging', 'phone']",0
616,"['poor', 'product']",0
617,"['however', 'needed', 'better', 'instructions']",0
618,"['need', 'two', 'hands', 'operate', 'screenthis', 'software', 'interface', 'decade', 'old', 'cannot', 'compete', 'new', 'software', 'designs']",0
619,"['worked', 'well', 'paired', 'treo', 'skype', 'headset', 'pc', 'using', 'usb', 'bluetooth', 'transceiver']",1
620,"['steer', 'clear', 'product', 'go', 'genuine', 'palm', 'replacementr', 'pens', 'come', 'threepack']",0
621,"['buy', 'buyit', 'sucks']",0
622,"['great', 'product', 'sure', 'beats', 'using', 'fingers']",1
623,"['plus', 'seriously', 'believe', 'worth', 'steep', 'price', 'point']",0
624,"['cases', 'tried', 'normally', 'fall', 'apart', 'months', 'one', 'seems', 'long', 'haul']",1
625,"['dissapointing', 'performance']",0
626,"['dont', 'make', 'mistake', 'please', 'dont', 'buy', 'phone']",0
627,"['phone', 'might', 'well', 'worst', 'ever', 'brand']",0
628,"['case', 'less', 'extra', 'originally', 'put', 'later', 'discarded', 'scratched', 'ear']",0
629,"['recommend', 'igo', 'anyone', 'different', 'brand', 'cell', 'phonesmp', 'players', 'family']",1
630,"['dont', 'bother', 'go', 'store']",0
631,"['posted', 'detailed', 'comments', 'grey', 'black', 'phone', 'fire', 'red', 'great', 'color']",1
632,"['problem', 'item', 'would', 'order', 'needed']",1
633,"['get', 'pay', 'guess']",0
634,"['software', 'great', 'job', 'could', 'also', 'make', 'ringtones', 'form', 'existing', 'cds', 'without', 'internet', 'connection']",1
635,"['surprised', 'good', 'quality', 'car', 'charger', 'theres', 'much', 'reviews']",1
636,['fabulous'],1
637,"['however', 'bt', 'headsets', 'currently', 'good', 'real', 'time', 'games', 'like', 'firstperson', 'shooters', 'since', 'audio', 'delay', 'messes']",0
638,"['used', 'bitpim', 'free', 'program', 'find', 'internetto', 'transfer', 'data', 'phonethe', 'price', 'cable', 'excellent']",1
639,"['disappointing', 'accessory', 'good', 'manufacturer']",0
640,"['performed', 'awful', 'muffled', 'tinny', 'incoming', 'sound', 'severe', 'echo', 'end', 'call']",0
641,['windresistant'],1
642,"['obviously', 'terrible', 'customer', 'service', 'get', 'pay']",0
643,"['last', 'forever', 'overly', 'expensive', 'replaceeasy', 'operate', 'sound', 'much', 'better', 'others', 'tried']",1
644,"['contacted', 'company', 'told', 'although', 'unit', 'still', 'warranty', 'couldnt', 'produce', 'receipt', 'luck']",0
645,"['linksys', 'way', 'exchange', 'bad', 'phone', 'refurb', 'unit', 'something']",0
646,"['phone', 'sturdy', 'nokia', 'bar', 'phones']",1
647,"['great', 'phone']",1
648,"['placed', 'treo', 'case', 'snug', 'lot', 'extra', 'room', 'sides']",0
649,['pleased'],1
650,"['battery', 'terrible']",0
651,"['found', 'product', 'easy', 'set', 'use']",1
652,"['earpiece', 'large', 'heavyit', 'keeps', 'falling', 'ear']",0
653,"['utter', 'crap', 'sound', 'quality', 'terrible']",0
654,"['charger', 'arrived', 'within', 'promised', 'timeframe', 'work']",0
655,"['ear', 'loop', 'needed', 'tiny', 'sound', 'great']",1
656,"['finally', 'three', 'four', 'times', 'spring', 'latch', 'broke', 'could', 'use', 'longer', 'visor']",0
657,"['handsfree', 'part', 'works', 'fine', 'car', 'tries', 'download', 'address', 'book', 'treo', 'rebootsoverall', 'still', 'rate', 'device', 'high']",1
658,"['talk', 'useless', 'customer', 'service']",0
659,"['felt', 'light', 'tinny']",0
660,"['fit', 'palm', 'tungsten', 'broke', 'first', 'time', 'tried', 'plug']",0
661,"['happy', 'purchase', 'good', 'quality', 'low', 'price']",1
662,"['love', 'look', 'feel', 'samsung', 'flipphones']",1
663,"['welldesigned', 'sharp', 'blue', 'nice', 'color']",1
664,['everything'],1
665,"['could', 'recommend']",0
666,"['nice', 'sound']",1
667,"['looks', 'good', 'picture', 'case', 'huge', 'disappointment']",0
668,"['much', 'less', 'jawbone', 'going', 'replace']",1
669,"['setup', 'went', 'smoothly']",1
670,"['extremely', 'slow', 'takes', 'forever', 'anything']",0
671,"['must', 'study', 'anyone', 'interested', 'worst', 'sins', 'industrial', 'design']",0
672,"['first', 'thing', 'happened', 'tracking']",0
673,"['well', 'made', 'easy', 'access', 'phone', 'handy', 'detachable', 'belt', 'clip']",1
674,"['continue', 'pairing', 'periodically', 'since', 'somehow', 'kept', 'dropping']",0
675,"['cant', 'upload', 'ringtones', 'third', 'party']",0
676,"['bluetooth', 'work', 'phone', 'locks', 'screens', 'flash', 'makes', 'calls', 'randomly', 'pocket', 'locked']",0
677,"['truly', 'awful']",0
678,"['works', 'fine', 'motorola', 'cellphone', 'lot', 'better', 'wornout', 'battery']",1
679,"['volume', 'ringer', 'real', 'good', 'choices', 'loud']",1
680,"['none', 'tones', 'acceptable']",0
681,"['camera', 'color', 'balance', 'awful']",0
682,"['product', 'clearly', 'ready', 'prime', 'time', 'dont', 'care', 'cool', 'looks', 'cant', 'tell', 'call', 'coming', 'worthless']",0
683,"['love', 'ringtones', 'upbeat']",1
684,"['chinese', 'forgeries', 'abound']",0
685,"['easy', 'pair', 'samsung', 'cell']",1
686,"['instructions', 'didnt', 'explain', 'microphone', 'jack', 'could', 'used']",0
687,"['would', 'advise', 'purchase', 'item', 'never', 'worked', 'well']",0
688,"['bad', 'pay', 'month', 'service']",0
689,"['works', 'well']",1
690,"['nokia', 'ca', 'usb', 'cable', 'work', 'phone']",0
691,"['clear', 'crisp', 'sound']",1
692,"['use', 'smallest', 'earpieces', 'provided', 'stays', 'pretty', 'well']",1
693,"['biggest', 'complaint', 'battery', 'drains', 'superfast']",0
694,"['design', 'might', 'ergonomic', 'theory', 'could', 'stand', 'ear']",0
695,"['buy', 'want', 'use', 'holster']",0
696,"['phone', 'also', 'take', 'great', 'pictures', 'even', 'video', 'clips']",1
697,"['doesnt', 'make', 'look', 'cool']",0
698,"['ears', 'occupied', 'background', 'distracting']",1
699,"['comfortable', 'fit', 'need', 'headset', 'comfortable', 'least', 'hour', 'time', 'entire', 'day']",1
700,"['also', 'phone', 'doesnt', 'seem', 'accept', 'anything', 'except', 'cbr', 'mps', 'preferably', 'ripped', 'windows', 'media', 'player']",0
701,"['cant', 'beat', 'price']",1
702,"['comes', 'strong', 'light', 'use', 'light', 'camera', 'shots', 'even', 'flash', 'sos', 'signals', 'seriously']",1
703,"['lightweight', 'works', 'well']",1
704,['beware'],0
705,"['love', 'cable', 'allows', 'connect', 'miniusb', 'device', 'pc']",1
706,"['anyone', 'near', 'hear', 'part', 'conversation']",0
707,"['cool', 'cases', 'open', 'allowing', 'screen', 'get', 'scratched']",1
708,"['bought', 'phone', 'replacement', 'startac', 'regretted', 'since']",0
709,"['appears', 'actually', 'outperform', 'original', 'battery', 'china', 'came', 'vi']",1
710,"['cant', 'store', 'anything', 'phone', 'numbers', 'sim']",0
711,"['lasts', 'less', 'minutes', 'actually', 'try', 'use', 'phonemy', 'wife', 'phone', 'problem']",0
712,"['poor', 'quality']",0
713,"['jabra', 'ear', 'gels', 'best']",1
714,['worth'],0
715,"['phone', 'crashed', 'completely', 'get', 'replaced']",0
716,"['quit', 'working', 'id', 'used', 'months', 'purchased', 'another', 'one', 'best', 'headset', 'ever', 'owned']",1
717,"['unfortunately', 'recharge', 'iphone', 'despite', 'connecting', 'multiple', 'power', 'sources', 'imac', 'external', 'battery', 'wall', 'outlet', 'etc']",0
718,"['great', 'phone']",1
719,"['simply', 'want', 'small', 'flip', 'phone', 'look', 'elsewhere', 'extra', 'bells', 'whistles', 'mediocre']",0
720,"['good', 'value', 'works', 'fine', 'power', 'via', 'usb', 'car', 'wall', 'outlet']",1
721,"['phone', 'doesnt', 'slide', 'around', 'car', 'grip', 'prevents', 'phone', 'slipping', 'hand']",1
722,"['simply', 'best', 'bluetooth', 'headset', 'sound', 'quality']",1
723,"['think', 'plan', 'onethis', 'sure', 'last', 'moto', 'phone']",0
724,"['span', 'hour', 'two', 'people', 'exclaim', 'whoa', 'new', 'phone', 'tv']",1
725,"['always', 'used', 'corded', 'headsets', 'freedom', 'wireless', 'helpful']",1
726,"['case', 'passed', 'one', 'year', 'mark', 'shows', 'signs', 'wear', 'functional']",1
727,"['leather', 'nice', 'soft', 'fit', 'tight', 'cut', 'face', 'good', 'shape']",1
728,"['everything', 'need', 'couldnt', 'ask']",1
729,"['receiving', 'using', 'product', 'days', 'broke']",0
730,"['product', 'great', 'makes', 'working', 'lot', 'easier', 'go', 'copier', 'waiting', 'hold', 'something']",1
731,"['none', 'three', 'sizes', 'sent', 'headset', 'would', 'stay', 'ears']",0
732,"['tmobile', 'best', 'customer', 'service', 'anywhere']",1
733,"['arrived', 'quickly', 'much', 'less', 'expensive', 'others', 'sold']",1
734,"['tried', 'units', 'failed', 'within', 'months', 'pros']",0
735,"['provides', 'good', 'protection', 'looks', 'classy']",1
736,"['krussel', 'always', 'good']",1
737,"['tracfonewebsite', 'user', 'friendly', 'makes', 'easy', 'toactivate', 'etc']",1
738,"['design', 'good']",1
739,"['great', 'reception', 'time']",1
740,"['would', 'highly', 'recommend', 'product']",1
741,"['couldnt', 'use', 'unit', 'sunglasses', 'good', 'texas']",0
742,"['dit', 'work', 'time', 'nokia']",0
743,"['bought', 'mainly', 'charger', 'broke', 'soon', 'purchasing']",0
744,"['like', 'loud', 'buzzing', 'override', 'conversations', 'phone']",0
745,"['fantastic', 'buy', 'get', 'whatever', 'next', 'phone']",1
746,"['stay', 'away', 'store', 'careful']",0
747,"['blueant', 'supertooth', 'handsfree', 'phone', 'speaker', 'awesome']",1
748,['fit'],0
749,"['item', 'arrived', 'quickly', 'works', 'great', 'metro', 'pcs', 'samsung', 'schr', 'slider', 'phone', 'sony', 'premium', 'sound', 'ear', 'plugs']",1
750,"['light', 'plenty', 'battery', 'capacity', 'confortable', 'wear', 'somewhat', 'extended', 'periods', 'time']",1
751,['disappointing'],0
752,"['blue', 'ant', 'easy', 'use']",1
753,"['cheap', 'hey', 'works', 'pleasantly', 'suprised', 'given', 'low', 'cost', 'item']",1
754,"['camera', 'phone', 'may', 'used', 'dustpan', 'indoors', 'id', 'rather', 'using', 'disposable']",0
755,"['days', 'later', 'puff', 'smoke', 'came', 'phone', 'use']",0
756,"['convenient', 'simple', 'use', 'gets', 'job', 'done', 'makes', 'car', 'ride', 'much', 'smoother']",1
757,"['nano', 'stated', 'itmy', 'son', 'dissapointed']",0
758,"['sound', 'quality', 'excellent', 'well']",1
759,"['best', 'headset', 'used']",1
760,"['would', 'reccommend']",0
761,"['around', 'years', 'carries', 'highest', 'quality', 'antiglare', 'screen', 'protector', 'found', 'date']",1
762,['wanted'],1
763,"['particular', 'model', 'would', 'work', 'motorola', 'smartphone']",0
764,"['wont', 'work', 'right', 'atleast']",0
765,"['addition', 'feels', 'amp', 'looks', 'phone', 'lightweight', 'cheap', 'plastic']",0
766,"['warranty', 'problems', 'reoccurebottom', 'line', 'put', 'money', 'somewhere', 'else', 'cingular', 'support']",0
767,"['really', 'wanted', 'plantronics', 'right', 'one', 'many', 'issues', 'methe', 'good']",0
768,"['great', 'product']",1
769,"['crisp', 'clear']",1
770,"['first', 'charge', 'kept', 'going', 'dead', 'minutes']",0
771,"['cheap', 'plastic', 'creaks', 'like', 'old', 'wooden', 'floor']",0
772,"['get', 'absolutely', 'horrible', 'reception', 'apartment', 'phones', 'problem']",0
773,"['reception', 'generally', 'good']",1
774,"['excellent', 'sound', 'battery', 'life', 'inconspicuous', 'boot']",1
775,"['great', 'bluetooth']",1
776,"['highly', 'recommend', 'case']",1
777,['worthwhile'],1
778,"['great', 'deal']",1
779,"['phone', 'got', 'year', 'old', 'slowly', 'breaking', 'despite', 'much', 'care', 'part']",0
780,"['sorry', 'made', 'purchase']",0
781,"['bought', 'hoping', 'could', 'make', 'bluetooth', 'headset', 'fit', 'better', 'things', 'made', 'impossible', 'wear']",0
782,"['treo', 'tmobile', 'refused', 'replace', 'forced', 'buy', 'another', 'phone', 'without', 'kind', 'upgrade', 'discount']",0
783,['horrible'],0
784,"['dont', 'think', 'would', 'hold', 'securly', 'belt']",0
785,"['allows', 'possibility', 'double', 'booking', 'date', 'time', 'first']",0
786,"['work', 'weeks', 'break']",0
787,"['simple', 'use', 'like']",1
788,"['great', 'tool', 'entertainment', 'communication', 'data', 'managementoh', 'sure', 'use', 'activesync', 'optimal', 'data', 'synchronization', 'results']",1
789,"['cant', 'use', 'case', 'smell', 'disgusting']",0
790,['wanted'],0
791,"['cases', 'would', 'order', 'another']",1
792,"['great', 'phone']",1
793,"['bought', 'battery', 'coupon', 'amazon', 'happy', 'purchase']",1
794,"['internet', 'access', 'fine', 'rare', 'instance', 'worked']",0
795,"['perfect', 'ps']",1
796,"['five', 'star', 'plus', 'plus']",1
797,"['good', 'quality', 'bargain', 'bought', 'bought', 'cheapy', 'big', 'lots', 'sounded', 'awful', 'people', 'end', 'couldnt', 'hear']",1
798,['drain'],0
799,"['tried', 'talking', 'real', 'loud', 'shouting', 'telephone', 'gets', 'old', 'still', 'told', 'wasnt', 'great']",0
800,"['good', 'works', 'fine']",1
801,"['price', 'great', 'deal']",1
802,"['great', 'price']",1
803,"['wind', 'completely', 'useless']",0
804,"['yes', 'shiny', 'front', 'side', 'love']",1
805,['work'],0
806,"['first', 'thought', 'grtting', 'good', 'deal', 'plugged', 'phone', 'vc', 'razr']",0
807,"['reception', 'headset', 'excellent']",1
808,"['thumbs', 'seller']",1
809,"['verizon', 'lg', 'phone', 'work', 'well', 'together', 'good', 'reception', 'range', 'exceeds', 'feet', 'line', 'sight']",1
810,"['improper', 'description', 'return']",0
811,"['works', 'comfortable']",1
812,"['battery', 'chargelife', 'quite', 'long']",1
813,"['jabra', 'eargels', 'fit', 'ears', 'well']",1
814,"['battery', 'life']",0
815,"['checked', 'everywhere', 'feature', 'really', 'disappointing']",0
816,"['product', 'exactly', 'described']",1
817,"['gets', 'signal', 'verizon', 'phones', 'wont']",1
818,"['doesnt', 'job']",0
819,"['would', 'recommend']",1
820,"['plan', 'ordering']",1
821,"['said', 'phone', 'camera', 'nice', 'many', 'cool', 'effects', 'play', 'video', 'decent', 'well']",1
822,"['satisfied', 'cell', 'phone', 'day', 'one']",1
823,"['keep', 'getting', 'better', 'better', 'third', 'one', 'numerous', 'palms']",1
824,"['awkward', 'use', 'unreliable']",0
825,"['shipping', 'time', 'also', 'quick']",1
826,"['good', 'hoped']",0
827,"['good', 'case']",1
828,"['doesnt', 'work']",0
829,"['really', 'good', 'product']",1
830,"['unfortunately', 'work']",0
831,"['three', 'broke', 'within', 'two', 'months', 'use']",0
832,"['dont', 'buy']",0
833,"['father', 'battery', 'dying']",0
834,"['however', 'ear', 'pads', 'come', 'easily', 'one', 'week', 'lost', 'one']",0
835,"['calls', 'drop', 'phone', 'comes', 'screen', 'goes', 'black', 'worst', 'stops', 'ringing', 'intermittently']",0
836,"['horrible', 'horrible', 'protector']",0
837,"['dont', 'like', 'nokia', 'either']",0
838,"['reaching', 'bottom', 'row', 'uncomfortable', 'send', 'end', 'keys', 'expect']",0
839,"['bought', 'nokia', 'cell', 'phone', 'weeks', 'ago', 'nightmare']",0
840,"['would', 'take', 'long', 'describe', 'bad', 'customer', 'service', 'experience', 'amazon']",0
841,"['disappointing', 'thing', 'speakerphone']",0
842,"['terrible', 'car', 'accept', 'cassette']",0
843,"['product', 'useless', 'since', 'enough', 'charging', 'current', 'charge', 'cellphones', 'planning', 'use']",0
844,['says'],0
845,"['stay', 'away']",0
846,"['used', 'dirty']",0
847,"['unreliable', 'service', 'tmobile']",0
848,"['good', 'enough', 'price']",0
849,"['bought', 'two', 'neither', 'charge']",0
850,"['looks', 'nice']",1
851,"['excellent', 'tool', 'especially', 'paired', 'phones', 'autoanswer']",1
852,"['read', 'others', 'reviews', 'havent', 'problem']",1
853,"['products', 'cover', 'important', 'light', 'sensor', 'ear', 'outlet']",0
854,"['comfortable', 'hand']",1
855,['work'],0
856,"['poor', 'reliability']",0
857,['works'],1
858,"['take', 'picture', 'battery', 'drops', 'bar', 'starts', 'beeping', 'letting', 'know', 'dieing']",0
859,"['terrible', 'product', 'waste', 'money']",0
860,"['last', 'time', 'buying']",0
861,"['waste', 'money']",0
862,"['far', 'worked', 'like', 'charm']",1
863,"['weeks', 'far', 'good']",1
864,"['case', 'best', 'part', 'download', 'pictures', 'laptop', 'using', 'ir', 'even', 'send', 'pictures', 'laptop', 'phone']",1
865,"['would', 'recommend', 'item']",1
866,"['choice', 'headset', 'yearsgreat', 'sound', 'good', 'volume', 'good', 'noise', 'cancellation']",1
867,"['nice', 'case', 'feels', 'good', 'hands']",1
868,"['item', 'received', 'counterfeit']",0
869,"['really', 'good', 'far', 'probably', 'best', 'bt', 'headset', 'ever']",1
870,"['works', 'fine']",1
871,"['received', 'headset', 'good', 'time', 'happy']",1
872,"['pleased', 'see', 'could', 'replace', 'well', 'travled', 'swivel', 'holster', 'blackberry', 'flip']",1
873,"['sister', 'one', 'also', 'loves']",1
874,"['good', 'quality']",1
875,"['far', 'worst', 'purchase', 'made', 'amazon']",0
876,"['excellent', 'dualpurpose', 'headset']",1
877,['excellent'],1
878,"['work', 'listening', 'music', 'cingular']",0
879,"['seems', 'completely', 'secure', 'holding', 'belt', 'keeping', 'iphone', 'inside']",1
880,"['bottowm', 'lineanother', 'worthless', 'cheap', 'gimmick', 'sprint']",0
881,"['trouble', 'volume']",0
882,"['good', 'thing', 'fits', 'comfortably', 'small', 'ears']",1
883,"['warning', 'buy']",0
884,"['pairing', 'iphone', 'could', 'happier', 'far']",1
885,"['opens', 'battery', 'connection', 'broken', 'device', 'turned']",0
886,"['didnt', 'want', 'clip', 'going', 'top', 'ear', 'causing', 'discomfort']",0
887,"['best', 'headset', 'ever']",1
888,"['dont', 'trust', 'website', 'dont', 'expect', 'helpful', 'support']",0
889,"['loudglad', 'say', 'plantronics', 'maintains', 'flawless', 'connection', 'cell', 'static', 'normal', 'use']",1
890,"['speaker', 'low', 'quality', 'making', 'ring', 'tones', 'sound', 'cheap']",0
891,"['fits', 'comfortably', 'came', 'three', 'sizes', 'earbud', 'tips']",1
892,"['excellent', 'product', 'price']",1
893,"['bad', 'reception']",0
894,"['product', 'high', 'quality', 'chinese', 'crap']",0
895,"['quite', 'comfortable', 'ear']",1
896,"['great', 'phone']",1
897,"['dont', 'buy', 'product', 'fails']",0
898,"['everything', 'product', 'wrongfirst']",0
